"","","","","",Dermatology_Result



"","","","","",Jrip:
a,b,c,d,e,f,TP Rate,FP Rate,Precision,Recall,F-Measure,ROC Area,Class
44,3,0,0,13,1,0.721,0.052,0.733,0.721,0.727,0.924,Two
5,107,0,0,0,0,0.955,0.016,0.964,0.955,0.96,0.986,One
1,0,69,1,1,0,0.958,0,1,0.958,0.979,0.983,Three
0,0,0,48,4,0,0.923,0.003,0.98,0.923,0.95,0.994,Five
10,1,0,0,38,0,0.776,0.057,0.679,0.776,0.724,0.956,Four
0,0,0,0,0,20,1,0.003,0.952,1,0.976,0.997,Six



"","","","","",Ridor
a,b,c,d,e,f,TP Rate,FP Rate,Precision,Recall,F-Measure,ROC Area,Class
45,4,0,0,11,1,0.738,0.039,0.789,0.738,0.763,0.849,Two
1,110,1,0,0,0,0.982,0.016,0.965,0.982,0.973,0.983,One
0,0,69,2,1,0,0.958,0.003,0.986,0.958,0.972,0.977,Three
0,0,0,52,0,0,1,0.006,0.963,1,0.981,0.997,Five
11,0,0,0,38,0,0.776,0.038,0.76,0.776,0.768,0.869,Four
0,0,0,0,0,20,1,0.003,0.952,1,0.976,0.999,Six



"","","","","",J48
a,b,c,d,e,f,TP Rate,FP Rate,Precision,Recall,F-Measure,ROC Area,Class
46,2,0,0,11,2,0.754,0.039,0.793,0.754,0.773,0.925,Two
0,111,1,0,0,0,0.991,0.008,0.982,0.991,0.987,0.987,One
0,0,70,2,0,0,0.972,0.003,0.986,0.972,0.979,0.989,Three
0,0,0,52,0,0,1,0.006,0.963,1,0.981,0.998,Five
12,0,0,0,37,0,0.755,0.035,0.771,0.755,0.763,0.96,Four
0,0,0,0,0,20,1,0.006,0.909,1,0.952,0.995,Six



"","","","","",SimpleCart(SC)
a,b,c,d,e,f,TP Rate,FP Rate,Precision,Recall,F-Measure,ROC Area,Class
43,1,0,0,15,2,0.705,0.052,0.729,0.705,0.717,0.92,Two
3,109,0,0,0,0,0.973,0.008,0.982,0.973,0.978,0.988,One
0,0,71,1,0,0,0.986,0,1,0.986,0.993,0.992,Three
0,1,0,51,0,0,0.981,0.003,0.981,0.981,0.981,0.984,Five
12,0,0,0,37,0,0.755,0.05,0.698,0.755,0.725,0.929,Four
1,0,0,0,1,18,0.9,0.006,0.9,0.9,0.9,0.945,Six



"","","","","",NB
a,b,c,d,e,f,TP Rate,FP Rate,Precision,Recall,F-Measure,ROC Area,Class
46,1,0,2,12,0,0.754,0.016,0.902,0.754,0.821,0.982,Two
0,112,0,0,0,0,1,0.004,0.991,1,0.996,1,One
0,0,72,0,0,0,1,0,1,1,1,1,Three
0,0,0,52,0,0,1,0.006,0.963,1,0.981,1,Five
5,0,0,0,44,0,0.898,0.038,0.786,0.898,0.838,0.982,Four
0,0,0,0,0,20,1,0,1,1,1,1,Six



"","","","","",IBK
a,b,c,d,e,f,TP Rate,FP Rate,Precision,Recall,F-Measure,ROC Area,Class
50,1,0,1,9,0,0.82,0.046,0.781,0.82,0.8,0.872,Two
2,109,0,0,1,0,0.973,0.004,0.991,0.973,0.982,0.977,One
1,0,70,0,1,0,0.972,0,1,0.972,0.986,0.992,Three
0,0,0,51,1,0,0.981,0.003,0.981,0.981,0.981,0.983,Five
11,0,0,0,38,0,0.776,0.038,0.76,0.776,0.768,0.886,Four
0,0,0,0,0,20,1,0,1,1,1,1,Six



