"","","","","",LungCancer_Result



"","","","","",Jrip
a,b,c,TP Rate,FP Rate,Precision,Recall,F-Measure,ROC Area,Class
8,1,0,0.889,0.174,0.667,0.889,0.762,0.809,One
3,7,3,0.538,0.368,0.5,0.538,0.519,0.468,Two
1,6,3,0.3,0.136,0.5,0.3,0.375,0.677,Three



"","","","","",Ridor
a,b,c,TP Rate,FP Rate,Precision,Recall,F-Measure,ROC Area,Class
7,1,1,0.778,0.174,0.636,0.778,0.7,0.802,One
3,8,2,0.615,0.368,0.533,0.615,0.571,0.623,Two
1,6,3,0.3,0.136,0.5,0.3,0.375,0.582,Three



"","","","","",J48
a,b,c,TP Rate,FP Rate,Precision,Recall,F-Measure,ROC Area,Class
6,3,0,0.667,0.087,0.75,0.667,0.706,0.812,One
1,8,4,0.615,0.368,0.533,0.615,0.571,0.619,Two
1,4,5,0.5,0.182,0.556,0.5,0.526,0.709,Three



"","","","","",SC
a,b,c,TP Rate,FP Rate,Precision,Recall,F-Measure,ROC Area,Class
6,3,0,0.667,0.087,0.75,0.667,0.706,0.848,One
1,11,1,0.846,0.368,0.611,0.846,0.71,0.692,Two
1,4,5,0.5,0.045,0.833,0.5,0.625,0.723,Three



"","","","","",NB
a,b,c,TP Rate,FP Rate,Precision,Recall,F-Measure,ROC Area,Class
8,1,0,0.889,0.13,0.727,0.889,0.8,0.913,One
3,8,2,0.615,0.211,0.667,0.615,0.64,0.709,Two
0,3,7,0.7,0.091,0.778,0.7,0.737,0.859,Three



"","","","","",IBK
a,b,c,TP Rate,FP Rate,Precision,Recall,F-Measure,ROC Area,Class
6,3,0,0.667,0.304,0.462,0.667,0.545,0.667,One
6,5,2,0.385,0.368,0.417,0.385,0.4,0.451,Two
1,4,5,0.5,0.091,0.714,0.5,0.588,0.677,Three



