"","","","","",WDBC_Result



"","","","","",Jrip
a,b,TP Rate,FP Rate,Precision,Recall,F-Measure,ROC Area,Class
193,19,0.91,0.05,0.915,0.91,0.913,0.943,M
18,339,0.95,0.09,0.947,0.95,0.948,0.943,B



"","","","","",Ridor
a,b,TP Rate,FP Rate,Precision,Recall,F-Measure,ROC Area,Class
196,16,0.925,0.036,0.938,0.925,0.931,0.944,M
13,344,0.964,0.075,0.956,0.964,0.96,0.944,B



"","","","","",J48
a,b,TP Rate,FP Rate,Precision,Recall,F-Measure,ROC Area,Class
198,14,0.934,0.05,0.917,0.934,0.925,0.928,M
18,339,0.95,0.066,0.96,0.95,0.955,0.928,B



"","","","","",SC
a,b,TP Rate,FP Rate,Precision,Recall,F-Measure,ROC Area,Class
188,24,0.887,0.031,0.945,0.887,0.915,0.949,M
11,346,0.969,0.113,0.935,0.969,0.952,0.949,B



"","","","","",NB
a,b,TP Rate,FP Rate,Precision,Recall,F-Measure,ROC Area,Class
188,24,0.887,0.039,0.931,0.887,0.908,0.982,M
14,343,0.961,0.113,0.935,0.961,0.948,0.982,B



"","","","","",IBK
a,b,TP Rate,FP Rate,Precision,Recall,F-Measure,ROC Area,Class
196,16,0.925,0.034,0.942,0.925,0.933,0.945,M
12,345,0.966,0.075,0.956,0.966,0.961,0.945,B



